City,Country,Population (2025)
Bắc Ninh,Vietnam,227797.2402
Muar,Malaysia,127386.1714
Chongnam,North Korea,92987.70935
Iksan-si,South Korea,154558.9406
Taitung,Taiwan,67626.00185
Omuta,Japan,132811.3482
Manila,Philippines,25921189.32
Changji/Sanji,China,367277.6822
Waimaw,Myanmar,81814.09913
Lop Buri,Thailand,422600.1813
Pematang Siantar,Indonesia,448227.5027
Bắc Giang,Vietnam,185730.7615
Segamat,Malaysia,58928.7851
Huichon,North Korea,144336.6723
Gangneung,South Korea,118784.0529
Izumo,Japan,59258.55833
Balanga,Philippines,130880.4727
Keriya,China,67786.57118
Sagaing,Myanmar,170879.1824
Surat Thani,Thailand,91182.77714
Tebing Tinggi,Indonesia,260317.7879
Phu Xuyen,Vietnam,88887.42859
Kuala Terengganu,Malaysia,267205.658
Sinanju,North Korea,111208.8681
Jecheon-si,South Korea,71243.52484
Hofu,Japan,79734.21269
Mariveles,Philippines,56664.66626
Wujiaqu,China,59339.51499
Madaya,Myanmar,62962.7064
Phra Nakhon Si Ayutthaya,Thailand,206443.8008
Padang Sidempuan,Indonesia,243598.056
Quế Võ,Vietnam,54758.69047
Batu Pahat,Malaysia,148438.5671
남흥동,North Korea,93354.90841
Jeonju,South Korea,631782.4724
Matsue,Japan,106205.1141
San Jose,Philippines,91740.46784
51 farm of 12th division,China,81144.72134
Mandalay,Myanmar,1849445.916
Loei,Thailand,62817.55716
Kisaran,Indonesia,192082.7252
Phủ Lý,Vietnam,127075.5219
Bukit Rangin,Malaysia,84241.09251
Anju,North Korea,109767.148
Mokpo-si,South Korea,228461.957
Hakodate,Japan,263045.4364
Talavera,Philippines,78751.35634
Ürümqi,China,3974257.143
Mogok,Myanmar,101355.6866
Saraburi,Thailand,93664.12246
Panyabungan,Indonesia,105016.2458
Kẻ Sặt,Vietnam,59466.24517
Kuantan,Malaysia,281247.0157
Hyangsan,North Korea,53378.07083
Gwangju,South Korea,1428491.527
Shunan,Japan,147107.0491
Tuguegarao,Philippines,145907.601
Fukang,China,116585.4084
Bhamo,Myanmar,107913.0742
Trang,Thailand,63833.77259
Pasaman,Indonesia,50501.65434
Vĩnh Trụ,Vietnam,70088.23197
Dungun,Malaysia,62923.30326
Mundok,North Korea,53189.97928
Andong-si,South Korea,58404.79335
Kumamoto,Japan,624647.9432
Arayat,Philippines,89810.37463
Korla,China,871121.0418
Aunglan,Myanmar,78979.1826
Chon Buri,Thailand,263105.7563
Gunung Tua,Indonesia,50644.5897
Hưng Yên,Vietnam,99470.03697
Chukai,Malaysia,60594.38884
Gumi-si,South Korea,286529.0675
Yonago,Japan,109841.0202
Cabanatuan,Philippines,287248.4353
Qitai,China,65792.59655
Kyaukse,Myanmar,90408.13002
Laem Chabang,Thailand,84423.58622
Tanjung Balai,Indonesia,274127.1091
Hải Dương,Vietnam,323387.3518
Kluang,Malaysia,157235.973
Kaechon,North Korea,200016.0768
Suncheon-si,South Korea,134690.6585
Kitami,Japan,79187.54395
Cabiao,Philippines,56704.03367
Gaochang,China,97924.14046
Meiktila,Myanmar,138447.3845
Nakhon Si Thammarat,Thailand,144814.1922
Rantau Prapat,Indonesia,197367.1466
Thanh Hoá,Vietnam,257053.7589
Kulai,Malaysia,152643.2532
Daegu,South Korea,2300085.2
Hiroshima,Japan,1150147.517
Gapan,Philippines,129420.2926
Hami,China,252811.8739
Taungdwingyi,Myanmar,54413.30692
Chachoengsao,Thailand,63482.12457
Lubuk Sikaping,Indonesia,58923.46739
Ninh Bình,Vietnam,122728.1183
Johor Bahru,Malaysia,1703323.736
Sukchon,North Korea,121500.0513
Taein-dong,South Korea,63172.81668
Yatsushiro,Japan,66957.02417
Apalit,Philippines,91790.64752
Shigatse,China,56969.81878
Wundwin,Myanmar,50800.60612
Pattaya,Thailand,253537.8758
Pasir Pengaraian,Indonesia,66962.99402
Bút Sơn,Vietnam,64984.56027
Onsong,North Korea,62436.15324
Kuching,Malaysia,587986.3854
Wolha-dong,South Korea,67570.41284
Iwakuni,Japan,109999.1576
Santiago,Philippines,108864.3597
Golmud,China,238703.5971
Pyin Oo Lwin,Myanmar,142389.97
Sattahip,Thailand,104827.5825
Padang,Indonesia,1210988.395
Lạng Sơn,Vietnam,95907.20418
Phyongwon,North Korea,98751.20421
Sibu,Malaysia,152038.4061
Jinju-si,South Korea,238454.3412
Beppu,Japan,108282.1854
Nasugbu,Philippines,65196.69186
Jiayuguan,China,199680.8329
Pyay,Myanmar,187737.3034
Prachin Buri,Thailand,62408.3094
Bukittinggi,Indonesia,264669.8513
Nam Định,Vietnam,349388.4224
Musan,North Korea,104490.6539
Bintulu,Malaysia,87443.1488
Jeju-si,South Korea,75587.03009
Kure,Japan,90952.92497
Calaca,Philippines,160190.8922
Nagqu,China,50126.33335
Pathein,Myanmar,226856.9312
Phatthalung,Thailand,71214.67643
Ujung Batu,Indonesia,87785.29883
Diêm Phổ,Vietnam,64606.76493
Onchon,North Korea,73587.71377
Miri,Malaysia,60795.78137
Oita,Japan,363331.9904
Tagaytay,Philippines,75412.74253
Lhasa,China,273179.3853
Nawnghkio,Myanmar,77553.71962
Map Ta Phut,Thailand,61709.90821
Batusangkar,Indonesia,57258.95836
Cầu Giát,Vietnam,84610.33872
Hyesan,North Korea,241782.0032
Pohang-si,South Korea,373322.8152
Pangkalan,Malaysia,68878.22358
Obihiro,Japan,150606.1993
Lemery,Philippines,179371.0809
Jiuquan,China,181624.8162
Myan Aung,Myanmar,77992.52947
Udon Thani,Thailand,95392.18628
Payakumbuh,Indonesia,102434.2382
Ninh Binh,Vietnam,54469.06595
Tokchon,North Korea,172194.1775
Changwon,South Korea,668434.074
Kampong Pulau Melayu,Malaysia,68708.97955
Tottori,Japan,116729.8014
Zhangye,China,198224.3811
Kyaukme,Myanmar,105406.411
Nakhon Ratchasima,Thailand,203234.4501
Solok,Indonesia,71638.04169
Diễn Châu,Vietnam,79597.2858
Sunchon,North Korea,127153.901
Gyeongju-si,South Korea,60566.64042
Kota Kinabalu,Malaysia,810842.9574
Kagoshima,Japan,453832.6175
Binangonan,Philippines,293688.7855
Yushu,China,58926.93091
Paungde,Myanmar,64670.13439
Hat Yai,Thailand,436776.6838
Bagan Siapi-api,Indonesia,159772.9389
Sầm Sơn,Vietnam,50871.96229
Buheung-dong,North Korea,59352.06208
Hallim-myeon,South Korea,69402.39993
Keningau,Malaysia,85311.6162
Aira,Japan,53302.9709
Batangas City,Philippines,430499.2173
Jinchang,China,144054.6567
Labutta,Myanmar,103422.0716
Klaeng,Thailand,55208.482
Bangkinang,Indonesia,171394.0322
Phú Liên,Vietnam,69560.05686
고산리,North Korea,73898.73726
Jinhae-gu,South Korea,100843.6593
Sandakan,Malaysia,383442.0167
Fukuyama,Japan,355565.6717
Baras,Philippines,55545.8688
Huangyuan,China,50841.83262
Namhkam,Myanmar,94081.212
Songkhla,Thailand,229876.2417
Duri,Indonesia,327220.1214
Phát Diệm,Vietnam,79907.01294
Pyŏngsŏng,North Korea,330617.083
Tongyeong-si,South Korea,67757.29413
Tawau,Malaysia,365999.2715
Onomichi,Japan,96813.47055
Lipa,Philippines,767540.9348
Minqin,China,50612.85717
Myaung Mya,Myanmar,166741.7989
Khon Kaen,Thailand,297168.2923
Pekanbaru,Indonesia,1226040.608
Cổ Lễ,Vietnam,242591.1428
천성로동자구,North Korea,70734.56255
Gimhae,South Korea,259894.2523
Lahad Datu,Malaysia,116129.5884
Kirishima,Japan,73830.33072
Tanay,Philippines,97006.40613
Datong,China,73035.76982
Nattalin,Myanmar,66663.90609
Tha Chang,Thailand,154230.0311
Sungai Penuh,Indonesia,57357.7974
Ninh Cường,Vietnam,65653.63206
강서구역,North Korea,140675.9529
Yangsan,South Korea,164281.5269
Matsuyama,Japan,421736.146
Semporna,Malaysia,81049.4523
San Pablo,Philippines,303081.3123
Wuwei,China,128072.1642
Pyinmana [Nay Pyi Taw],Myanmar,556726.2982
Maha Sarakham,Thailand,63429.34953
Dumai,Indonesia,323944.472
Minh Tân,Vietnam,70957.1879
Hoeryong,North Korea,84155.22715
Geoje-si,South Korea,98970.54052
Aomori,Japan,179937.259
Rosario,Philippines,76439.81235
Shangguancun,China,57861.641
Kyaung Kone,Myanmar,56251.47234
Pattani,Thailand,81107.12031
Perawang,Indonesia,150236.2731
Đông Hưng,Vietnam,63699.51265
P'yŏngyang,North Korea,2868313.037
Sincheon-dong,South Korea,53649.4258
Tsuyama,Japan,62088.60021
Santa Cruz,Philippines,238966.2683
Xining,China,1423664.939
Muse,Myanmar,120325.1854
Kalasin,Thailand,68105.84154
Pangkalan Kerinci,Indonesia,126597.8017
Thái Bình,Vietnam,210638.1605
Kwail,North Korea,60546.38766
Cheongan-dong,South Korea,62767.12461
Imabari,Japan,82978.43562
Siniloan,Philippines,59310.6496
Huzhu,China,56715.95236
Lewe,Myanmar,59556.98163
Yala,Thailand,106986.7796
Muara Bungo,Indonesia,168081.0878
Vinh,Vietnam,349192.1858
천리마구역,North Korea,141377.9751
Ulsan,South Korea,887567.7324
Hirosaki,Japan,112130.7734
Tiaong,Philippines,83944.50913
Ping'an,China,53033.79468
Hsipaw,Myanmar,73645.71161
Buri Ram,Thailand,86145.12292
Arga Makmur,Indonesia,51191.38763
Hải Phòng,Vietnam,922306.6795
Pukchang,North Korea,89542.24564
웅상,South Korea,94568.49708
Nobeoka,Japan,91996.67035
Pagsanjan,Philippines,80546.58503
Haidong,China,63015.90257
Einme,Myanmar,56461.63463
Roi Et,Thailand,79445.66743
Bengkalis,Indonesia,89166.32684
Yên Định,Vietnam,71581.34684
재동로동자구,North Korea,59116.95303
Busan,South Korea,3263408.049
Okayama,Japan,847110.912
Nagcarlan,Philippines,117887.9887
Manzhouli,China,213243.208
Hinthada,Myanmar,200319.461
Sakon Nakhon,Thailand,67959.31919
Bengkulu,Indonesia,410417.4182
Uông Bí,Vietnam,66555.6505
Nampo,North Korea,144642.5036
Ayang,South Korea,85815.5846
Miyakonojo,Japan,93755.36024
Calapan,Philippines,86537.57438
Minhe,China,65965.04694
Gyobingauk,Myanmar,66425.31219
Nakhon Phanom,Thailand,63167.54343
Bangko,Indonesia,118735.0093
Núi Đối,Vietnam,81445.82645
Taean,North Korea,85171.52271
Niihama,Japan,143141.5699
Sariaya,Philippines,158212.0362
Honggu,China,56945.94037
Wakema,Myanmar,93383.21331
Mukdahan,Thailand,68185.60938
Air Molek I,Indonesia,73679.83028
Tiền Hải,Vietnam,52430.80427
Unryul,North Korea,58034.29005
Miyazaki,Japan,189091.5256
San Jose,Philippines,80276.90672
Zhalainuo'er,China,90790.73267
Curup,Indonesia,158766.5811
Hà Tĩnh,Vietnam,67769.71416
Ubon Ratchathani,Thailand,210637.8657
Songnim,North Korea,270920.0639
Kushiro,Japan,141959.5496
Tayabas,Philippines,50589.80276
Hanggin Rear Banner,China,72272.79414
Lawksawk,Myanmar,65422.96851
Rengat,Indonesia,54160.94463
Saen Suk,Thailand,86103.45036
Hạ Long,Vietnam,124404.4627
Marugame,Japan,184470.2947
Lucena,Philippines,329216.7729
Bayannur,China,270742.2309
Aungpan,Myanmar,101735.2967
Sarolangun,Indonesia,68973.99716
Cẩm Phả,Vietnam,143301.9249
Jangyon,North Korea,63023.88788
Shikokuchuo,Japan,54354.99646
Gumaca,Philippines,54638.41221
Dengkou,China,53874.63815
Za Lun,Myanmar,65530.12544
Selatpanjang,Indonesia,147887.5749
Móng Cái,Vietnam,50858.48841
Kangdong,North Korea,87887.3781
Akita,Japan,211383.0376
Jolo,Philippines,62922.70387
Alxa Left Banner,China,76115.74883
Kutkai,Myanmar,91131.34909
Manna,Indonesia,76523.76324
Sơn Hải,Vietnam,61539.23026
Anak,North Korea,105202.7593
Takamatsu,Japan,314296.087
San Jose,Philippines,58424.60492
Xincheng,China,52153.02083
Mawlamyinegyunn,Myanmar,186027.6439
Lubuklinggau,Indonesia,154451.4636
Đồng Hới,Vietnam,81396.516
Samchon,North Korea,57955.07059
Himeji,Japan,510933.4036
Daet,Philippines,138459.2566
Wuhai,China,162776.2333
Lashio,Myanmar,325395.742
Pagar Alam,Indonesia,61379.9882
Châu Đốc,Vietnam,137675.9775
Kyonghung,North Korea,80499.91453
Kanazawa,Japan,527097.3964
Kalibo,Philippines,123159.626
Lanzhou,China,2689402.429
Pantanaw,Myanmar,78300.54073
Tembilahan,Indonesia,211644.0283
Tân Châu,Vietnam,161282.3822
Sinhung,North Korea,59433.16554
Kochi,Japan,216998.5181
