prov_id,names,owner,population,year
1759,Traralgon,AUS,44085,2025
1768,Salym,SOV,,
1773,Mount Gambier,AUS,30875,2025
1776,Oroqen; Orčonu; Èlúnchūn,PRC,,
1779,Belokurikha,SOV,,
1788,Estevan,CAN,10629,2021
1793,Prescott,USA,,
1794,Aleysk,SOV,,
1806,Tulsa,USA,434183,2025
1809,Colorado Springs,USA,445670,2025
1812,Khanty-Mansiysk,SOV,65656,2025
1828,Aeropuerto Internacional de la Ciudad de México; Mexico City International Airport,MEX,,
1832,Sandpoint,USA,12824,2020
1836,Bismark,USA,,
1840,Shelek; Şelek,KAZ,29032,2021
1844,Karamay; Kèlāmǎyī; Qaramay,PRC,311815,2025
1845,Tynda,SOV,27626,2025
1854,Whitefish,USA,7898,2020
1864,Ridder,KAZ,,
1867,Marshall,USA,21387,2020
1873,Steinbach,CAN,17589,2021
1876,Tayshet,SOV,,
1884,Xingyi; Xīngyì,PRC,212962,2025
1900,Comitán de Domínguez,MEX,113479,2020
1908,Sikar; Sīkar,IND,294150,2025
1913,Fort Myers,USA,,
1915,Abilene,USA,62024,2025
1918,Maerkang; Mǎ'ěrkāng,PRC,,
1920,'Amrān; Amram,YEM,176305,2025
1923,Muhayil; Muḥā'yil,KSA,97967,2022
1933,Tianshui; Tiānshuǐshì,PRC,584189,2025
1939,Mlolongo,KEN,136351,2019
1945,Guasave,MEX,84062,2025
1949,Vidisha; Vidiśā,IND,247130,2025
1952,Matehuala,MEX,91143,2025
1955,Al-Khafjī; Khafji,KSA,78691,2022
1958,Tindouf; Tindūf,ALG,,
1959,Wuhai; Wūhǎi; Üqai,PRC,162776,2025
1967,Al-Aghwāṭ; Laghouat,ALG,235439,2025
1977,Halaib; Ḥalāyib,EGY,,
1983,Baharāic; Bahraich,IND,517750,2025
1985,Haiyuan; Hǎiyuán,PRC,66365,2025
1988,Bluefields,NCG,56421,2023
1998,Midland,USA,88806,2025
2002,Sirasā; Sirsa,IND,280987,2025
2005,Mirzapur; Mirzāpur,IND,703502,2025
2013,Al-Mayādīn; Mayadin,SYR,83827,2025
2014,Rìkāzé; Shigatse; Xigazê,PRC,56970,2025
2015,Shāchē; Yarkand; Yarkent,PRC,165031,2025
