City,Country,Population,Census Date
Boonville,USA,6507,4/1/20
Boonville,USA,8034,4/1/20
Boothbay Harbor,USA,3067,4/1/20
Borger,USA,12848,4/1/20
Boston,USA,4382009,4/1/20
Boulder,USA,120828,4/1/20
Boulder City,USA,14181,4/1/20
Bowie,USA,5419,4/1/20
Bowling Green,USA,97814,4/1/20
Bowling Green,USA,30989,4/1/20
Box Elder,USA,11386,4/1/20
Boyne City,USA,3990,4/1/20
Bozeman,USA,59080,4/1/20
Bradenton - Sarasota - Venice,USA,779075,4/1/20
Bradford,USA,11182,4/1/20
Brady,USA,4887,4/1/20
Brainerd,USA,20687,4/1/20
Brandon,USA,10959,4/1/20
Branson,USA,28640,4/1/20
Brattleboro,USA,10285,4/1/20
Brawley,USA,26270,4/1/20
Brazil,USA,10587,4/1/20
Breaux Bridge,USA,17542,4/1/20
Breckenridge,USA,8725,4/1/20
Breckenridge,USA,5455,4/1/20
Breese,USA,4637,4/1/20
Bremen,USA,7327,4/1/20
Bremerton,USA,224449,4/1/20
Brenham,USA,17395,4/1/20
Brevard,USA,13059,4/1/20
Brewton,USA,6371,4/1/20
Bridgeport - Stamford,USA,916408,4/1/20
Bridgeton,USA,35666,4/1/20
Brigham City,USA,25827,4/1/20
Bristol,USA,70638,4/1/20
Broadway - Timberville,USA,7188,4/1/20
Brockport,USA,13079,4/1/20
Brookfield,USA,3869,4/1/20
Brookhaven,USA,10152,4/1/20
Brookings,USA,11294,4/1/20
Brookings,USA,23674,4/1/20
Brooksville,USA,12128,4/1/20
Brookville,USA,6372,4/1/20
Brookville,USA,4644,4/1/20
Brownfield,USA,8264,4/1/20
Browns Mills,USA,27234,4/1/20
Brownsville,USA,9621,4/1/20
Brownsville,USA,216444,4/1/20
Brownwood,USA,21562,4/1/20
Brunswick,USA,31361,4/1/20
Brunswick,USA,8269,4/1/20
Brunswick - St. Simons,USA,68750,4/1/20
Brush,USA,5568,4/1/20
Bryan,USA,9238,4/1/20
