City,Country,Population,Census Date
Middlesborough,USA,13628,4/1/20
Middleton,USA,10265,4/1/20
Middletown,USA,41851,4/1/20
Middletown,USA,61516,4/1/20
Middletown,USA,93608,4/1/20
Midland,USA,52340,4/1/20
Midland,USA,141997,4/1/20
Midlothian,USA,30908,4/1/20
Milan,USA,7861,4/1/20
Milan,USA,7578,4/1/20
Miles City,USA,9227,4/1/20
Milford,USA,17754,4/1/20
Milledgeville,USA,22441,4/1/20
Millersburg,USA,4375,4/1/20
Millington,USA,12918,4/1/20
Millinocket,USA,3812,4/1/20
Millsboro,USA,9844,4/1/20
Milton,USA,6417,4/1/20
Milton,USA,28610,4/1/20
Milton-Freewater,USA,8131,4/1/20
Milwaukee,USA,1306795,4/1/20
Minden,USA,12659,4/1/20
Mineola,USA,5699,4/1/20
Mineral Wells,USA,14211,4/1/20
Minneapolis - St. Paul,USA,2914866,4/1/20
Minot,USA,50925,4/1/20
Minster - New Bremen,USA,6138,4/1/20
Mission Viejo - Lake Forest - Laguna Niguel,USA,646843,4/1/20
Missoula,USA,88109,4/1/20
Mitchell,USA,15690,4/1/20
Moab,USA,7933,4/1/20
Moberly,USA,12163,4/1/20
Mobile,USA,321907,4/1/20
Mocksville,USA,5971,4/1/20
Modesto,USA,357301,4/1/20
Molalla,USA,10258,4/1/20
Monahans,USA,9162,4/1/20
Monessen,USA,49962,4/1/20
Monett,USA,9391,4/1/20
Monmouth,USA,9189,4/1/20
Monmouth - Independence,USA,20912,4/1/20
Monroe,USA,16650,4/1/20
Monroe,USA,119964,4/1/20
Monroe,USA,57260,4/1/20
Monroe,USA,24635,4/1/20
Monroe,USA,10725,4/1/20
Monroeville,USA,4284,4/1/20
Montauk,USA,3845,4/1/20
Mont Belvieu,USA,12180,4/1/20
Montesano - Elma,USA,12682,4/1/20
Montevallo,USA,6438,4/1/20
Montevideo,USA,5391,4/1/20
Montgomery,USA,254348,4/1/20
Monticello,USA,7974,4/1/20
Monticello,USA,5985,4/1/20
Monticello,USA,10635,4/1/20
Monticello,USA,6681,4/1/20
Monticello,USA,15760,4/1/20
Monticello,USA,14328,4/1/20
Montrose,USA,24513,4/1/20
Montrose,USA,5539,4/1/20
Morehead,USA,9375,4/1/20
Morehead City - Emerald Isle - Atlantic Beach,USA,44300,4/1/20
Morgan City,USA,30236,4/1/20
Morgantown,USA,77620,4/1/20
Morrilton,USA,6340,4/1/20
Morris,USA,15740,4/1/20
Morris,USA,5030,4/1/20
Morristown ( incl. White Pine ),USA,66539,4/1/20
Morro Bay,USA,13163,4/1/20
Moscow,USA,25914,4/1/20
Moses Lake,USA,38751,4/1/20
Moultrie,USA,19217,4/1/20
Moundsville,USA,11398,4/1/20
Mountain Grove,USA,4219,4/1/20
Mountain Home,USA,17783,4/1/20
Mountain Home,USA,17799,4/1/20
Mountain Lake Park,USA,4548,4/1/20
Mountain Top,USA,10520,4/1/20
Mount Airy,USA,17354,4/1/20
Mount Carmel,USA,6963,4/1/20
Mount Horeb,USA,7730,4/1/20
Mount Pleasant,USA,9284,4/1/20
Mount Pleasant,USA,30738,4/1/20
Mount Pleasant,USA,15419,4/1/20
Mount Plymouth,USA,6165,4/1/20
Mount Shasta,USA,5203,4/1/20
Mount Sterling,USA,13920,4/1/20
Mount Vernon,USA,15288,4/1/20
Mount Vernon,USA,6715,4/1/20
Mount Vernon,USA,6509,4/1/20
Mount Vernon,USA,18993,4/1/20
Mount Vernon,USA,66825,4/1/20
Mount Washington,USA,21516,4/1/20
Mukwonago,USA,15287,4/1/20
Muleshoe,USA,5159,4/1/20
Mullins,USA,4924,4/1/20
Muncie,USA,84382,4/1/20
Muncy,USA,7544,4/1/20
Munds Park,USA,773,4/1/20
Murfreesboro,USA,177313,4/1/20
Murray,USA,18958,4/1/20
Muscatine,USA,25144,4/1/20
Muskegon - Norton Shores,USA,166414,4/1/20
Muskogee,USA,35798,4/1/20
Myrtle Beach - North Myrtle Beach,USA,298954,4/1/20
Mystic Island - Little Egg Harbor,USA,23074,4/1/20
Nacogdoches,USA,33732,4/1/20
Nampa,USA,177561,4/1/20
Nantucket,USA,12011,4/1/20
Napa,USA,84619,4/1/20
Napoleon,USA,8868,4/1/20
Nappanee,USA,7250,4/1/20
Nashua,USA,242984,4/1/20
Nashville,USA,4844,4/1/20
Nashville-Davidson,USA,1158642,4/1/20
Natchez,USA,25902,4/1/20
Natchitoches,USA,18935,4/1/20
Navarre - Miramar Beach - Destin ( incl. Fort Walton Beach ),USA,226213,4/1/20
Navasota,USA,7458,4/1/20
Nebraska City,USA,7020,4/1/20
Needles,USA,6739,4/1/20
Nelsonville,USA,4709,4/1/20
Neosho,USA,12580,4/1/20
Nephi,USA,6330,4/1/20
Nevada,USA,6881,4/1/20
Nevada,USA,8529,4/1/20
New Albany,USA,6763,4/1/20
Newark,USA,13568,4/1/20
Newark,USA,81223,4/1/20
New Bedford,USA,155491,4/1/20
Newberg,USA,30893,4/1/20
New Bern,USA,47988,4/1/20
Newberry,USA,12342,4/1/20
New Boston,USA,4502,4/1/20
New Braunfels,USA,100736,4/1/20
New Carlisle,USA,5507,4/1/20
New Castle,USA,5844,4/1/20
New Castle,USA,18555,4/1/20
New Castle,USA,40243,4/1/20
New Freedom - Shrewsbury,USA,12094,4/1/20
New Haven,USA,561456,4/1/20
New Iberia,USA,37897,4/1/20
New Lexington,USA,4602,4/1/20
New London,USA,7804,4/1/20
Newman,USA,12387,4/1/20
New Martinsville,USA,5608,4/1/20
New Orleans,USA,914531,4/1/20
New Paltz,USA,9969,4/1/20
New Philadelphia - Dover,USA,46776,4/1/20
Newport,USA,5947,4/1/20
Newport,USA,11731,4/1/20
Newport,USA,11576,4/1/20
New Prague,USA,8156,4/1/20
New Richmond,USA,9486,4/1/20
New Roads,USA,6794,4/1/20
New Tazewell -Tazewell,USA,5374,4/1/20
Newton,USA,15943,4/1/20
Newton,USA,20378,4/1/20
Newton,USA,12813,4/1/20
Newton Falls,USA,6604,4/1/20
New Ulm,USA,13435,4/1/20
New York - Jersey City - Newark,USA,19426449,4/1/20
Nice,USA,8555,4/1/20
Nicholasville,USA,31434,4/1/20
Nipomo,USA,20303,4/1/20
Nogales,USA,19168,4/1/20
Norfolk,USA,27407,4/1/20
Norman,USA,120191,4/1/20
North Adams,USA,25432,4/1/20
North Bend,USA,11762,4/1/20
North Branch,USA,6368,4/1/20
North East,USA,6513,4/1/20
Northfield,USA,22686,4/1/20
North Manchester,USA,5188,4/1/20
North Platte,USA,23582,4/1/20
North Vernon,USA,6936,4/1/20
North Windham,USA,10271,4/1/20
Norwalk,USA,19269,4/1/20
Norwich,USA,7740,4/1/20
Norwich - New London,USA,167432,4/1/20
Oakdale,USA,25408,4/1/20
Oakdale,USA,6700,4/1/20
Oak Harbor,USA,37449,4/1/20
Oak Island,USA,15592,4/1/20
Oakland,USA,9389,4/1/20
Oak Ridge ( Jefferson Township North ),USA,8871,4/1/20
Oberlin,USA,8176,4/1/20
Ocala,USA,182647,4/1/20
Ocean Park,USA,5411,4/1/20
Ocean Pines - Ocean City,USA,37946,4/1/20
Ocean Shores,USA,6766,4/1/20
Ocean View,USA,18025,4/1/20
Odessa,USA,5529,4/1/20
Odessa,USA,154818,4/1/20
Oelwein,USA,6585,4/1/20
Ogallala,USA,4721,4/1/20
Ogden - Layton,USA,608857,4/1/20
Ogdensburg,USA,10246,4/1/20
Oil City,USA,13666,4/1/20
Okeechobee - Taylor Creek,USA,26670,4/1/20
Oklahoma City,USA,982276,4/1/20
Okmulgee,USA,11016,4/1/20
Olean,USA,21144,4/1/20
Olney,USA,8642,4/1/20
Olympia - Lacey,USA,208157,4/1/20
Omaha,USA,819508,4/1/20
Omak,USA,8165,4/1/20
Oneida,USA,12481,4/1/20
Oneonta,USA,5624,4/1/20
Oneonta,USA,16028,4/1/20
Ontario - Payette,USA,27806,4/1/20
Opelousas,USA,23498,4/1/20
Opp,USA,5325,4/1/20
Orange,USA,40796,4/1/20
Orange,USA,4802,4/1/20
Orangeburg,USA,29072,4/1/20
Orange City,USA,7093,4/1/20
Orange Cove,USA,9716,4/1/20
Orangetree,USA,9791,4/1/20
Oregon,USA,11551,4/1/20
Orland,USA,9422,4/1/20
Orlando,USA,1853896,4/1/20
Oronoko - Berrien Springs,USA,6725,4/1/20
Orosi,USA,12795,4/1/20
Oroville,USA,40190,4/1/20
Orrville,USA,8703,4/1/20
Osage Beach,USA,6668,4/1/20
Osceola,USA,6244,4/1/20
Osceola,USA,5283,4/1/20
Oscoda - Au Sable,USA,8558,4/1/20
Oshkosh,USA,76190,4/1/20
Oskaloosa,USA,12541,4/1/20
Oswego,USA,24421,4/1/20
Othello,USA,10865,4/1/20
Otsego - Plainwell,USA,11819,4/1/20
Ottawa,USA,20122,4/1/20
Ottawa,USA,12461,4/1/20
Ottawa,USA,5418,4/1/20
Ottumwa,USA,25019,4/1/20
Owatonna,USA,26278,4/1/20
Owego,USA,4365,4/1/20
Owensboro,USA,76433,4/1/20
Owosso,USA,22329,4/1/20
Oxford,USA,33518,4/1/20
Oxford,USA,8925,4/1/20
Oxford,USA,23221,4/1/20
Oxford,USA,9925,4/1/20
Oxnard - San Buenaventura,USA,376117,4/1/20
Ozark,USA,12218,4/1/20
Pacific,USA,8522,4/1/20
Paducah,USA,50833,4/1/20
Page,USA,7022,4/1/20
Pagosa Springs,USA,5632,4/1/20
Pahokee,USA,6683,4/1/20
Pahrump,USA,37498,4/1/20
Paintsville,USA,5717,4/1/20
Palatka,USA,20032,4/1/20
Palestine,USA,18615,4/1/20
Palm Bay - Melbourne,USA,510675,4/1/20
Palmdale - Lancaster,USA,359559,4/1/20
Palmyra,USA,4477,4/1/20
Palmyra,USA,3772,4/1/20
Pampa,USA,16865,4/1/20
Pana,USA,5309,4/1/20
Panama City - Panama City Beach,USA,162060,4/1/20
Panther Valley,USA,4279,4/1/20
Paola,USA,5553,4/1/20
Paragould,USA,25089,4/1/20
Paris,USA,8316,4/1/20
Paris,USA,11269,4/1/20
Paris,USA,10303,4/1/20
Paris,USA,26292,4/1/20
Park City - Snyderville,USA,16168,4/1/20
Parker,USA,5329,4/1/20
Parkersburg,USA,62500,4/1/20
Parlier,USA,14522,4/1/20
Parsons,USA,9433,4/1/20
Pascagoula - Gautier,USA,51454,4/1/20
Patterson,USA,23660,4/1/20
Pauls Valley,USA,5608,4/1/20
Paw Paw,USA,5662,4/1/20
Paw Paw Lake,USA,7526,4/1/20
Paxton,USA,4528,4/1/20
Payson,USA,17022,4/1/20
Payson - Santaquin,USA,31132,4/1/20
Pea Ridge,USA,6026,4/1/20
Pearsall,USA,9063,4/1/20
Pecan Plantation,USA,6831,4/1/20
Pecos,USA,13081,4/1/20
Peculiar,USA,5564,4/1/20
Pella,USA,10160,4/1/20
Pell City,USA,11500,4/1/20
Pembroke,USA,5694,4/1/20
Pendleton,USA,17488,4/1/20
Pennsburg - Upper Hanover - East Greenville,USA,17239,4/1/20
Penn Yan,USA,8399,4/1/20
Pensacola,USA,390172,4/1/20
Peoria,USA,259781,4/1/20
Pepperell,USA,6103,4/1/20
Perry,USA,6531,4/1/20
Perry,USA,14884,4/1/20
Perry,USA,7628,4/1/20
Perry,USA,4066,4/1/20
Perry,USA,4445,4/1/20
Perryton,USA,8391,4/1/20
Perryville,USA,8062,4/1/20
Peru,USA,12458,4/1/20
Peru - LaSalle,USA,29763,4/1/20
Petaluma,USA,65227,4/1/20
Petoskey,USA,12233,4/1/20
Philadelphia,USA,7114,4/1/20
Philadelphia ( incl. Pottstown ),USA,5696125,4/1/20
Philipsburg,USA,9379,4/1/20
Phoenix - Mesa - Scottsdale,USA,3976313,4/1/20
Phoenix West - Goodyear - Avondale,USA,419946,4/1/20
Picayune,USA,16301,4/1/20
Pickens,USA,5068,4/1/20
Pierre,USA,14755,4/1/20
Pikeville,USA,10710,4/1/20
Pine Bluff,USA,46683,4/1/20
Pinehurst - Magnolia,USA,9667,4/1/20
Pinehurst - Southern Pines,USA,50319,4/1/20
Pinetop-Lakeside,USA,9393,4/1/20
Piqua,USA,20890,4/1/20
Pittsburg,USA,23120,4/1/20
Pittsburgh,USA,1745039,4/1/20
Pittsfield,USA,50720,4/1/20
Placerville - Diamond Springs,USA,23291,4/1/20
Plainview,USA,22615,4/1/20
Platte City,USA,10707,4/1/20
Platteville,USA,11838,4/1/20
Plattsburgh,USA,28958,4/1/20
Plattsmouth,USA,6655,4/1/20
Pleasant Hill,USA,8737,4/1/20
Pleasanton,USA,13983,4/1/20
Plumas Lake,USA,7337,4/1/20
Plymouth,USA,12279,4/1/20
Plymouth,USA,6166,4/1/20
Plymouth,USA,9011,4/1/20
Pocahontas,USA,7164,4/1/20
Pocatello,USA,72211,4/1/20
Poinciana,USA,53267,4/1/20
Poinciana Southwest,USA,16966,4/1/20
Point Pleasant - Gallipolis,USA,10544,4/1/20
Point Roberts,USA,1191,4/1/20
Polk City,USA,5375,4/1/20
Polson,USA,5564,4/1/20
Ponca City,USA,24990,4/1/20
Pontiac,USA,11078,4/1/20
Poolesville,USA,5685,4/1/20
Poplar Bluff,USA,20449,4/1/20
Portage,USA,5661,4/1/20
Portage,USA,10555,4/1/20
Portales,USA,12202,4/1/20
Port Angeles,USA,24445,4/1/20
Port Arthur,USA,116819,4/1/20
Port Charlotte - North Port,USA,199998,4/1/20
Porterville,USA,69862,4/1/20
Port Hadlock-Irondale,USA,5372,4/1/20
Port Huron,USA,82226,4/1/20
Port Isabel - South Padre Island - Laguna Vista,USA,12413,4/1/20
Port Jervis,USA,16187,4/1/20
Portland,USA,6364,4/1/20
Portland,USA,205356,4/1/20
Portland,USA,5263,4/1/20
Portland,USA,2104238,4/1/20
Portland,USA,12285,4/1/20
Port Lavaca,USA,12055,4/1/20
Portsmouth ( incl. Kennebunk ),USA,95090,4/1/20
Portsmouth,USA,35346,4/1/20
Port St. Lucie,USA,437745,4/1/20
Port Townsend,USA,10042,4/1/20
Poteau,USA,7826,4/1/20
Potsdam,USA,8237,4/1/20
Pottsville,USA,29600,4/1/20
Poughkeepsie - Newburgh,USA,314766,4/1/20
Powell,USA,6485,4/1/20
Prairie du Chien,USA,6119,4/1/20
Prairie du Sac - Sauk City,USA,7846,4/1/20
Prairie Grove,USA,5496,4/1/20
Pratt,USA,6589,4/1/20
Prescott - Prescott Valley,USA,92427,4/1/20
Prescott Valley East,USA,7229,4/1/20
Presque Isle,USA,5361,4/1/20
Prestonsburg,USA,6271,4/1/20
Price,USA,13346,4/1/20
Princess Anne,USA,6406,4/1/20
Princeton,USA,7979,4/1/20
Princeton,USA,8343,4/1/20
Princeton,USA,6058,4/1/20
Princeton,USA,4956,4/1/20
Princeton,USA,18184,4/1/20
Princeville,USA,2544,4/1/20
Prineville,USA,12407,4/1/20
Prosser,USA,6589,4/1/20
Providence,USA,1285806,4/1/20
Provincetown,USA,5698,4/1/20
Provo - Orem,USA,588609,4/1/20
Pryor Creek,USA,9436,4/1/20
Pueblo,USA,120642,4/1/20
Pueblo West,USA,25413,4/1/20
Pukalani - Haiku-Pauwela - Makawao,USA,23305,4/1/20
Pulaski,USA,8158,4/1/20
Pulaski,USA,16588,4/1/20
Pullman,USA,32691,4/1/20
Punxsutawney,USA,6199,4/1/20
Pupukea,USA,15509,4/1/20
Purcell,USA,7327,4/1/20
Purcellville,USA,16475,4/1/20
Putnam - Killingly,USA,34582,4/1/20
Quartzsite,USA,2280,4/1/20
Quincy,USA,8541,4/1/20
Quincy,USA,43427,4/1/20
Quincy,USA,7846,4/1/20
Racine,USA,134877,4/1/20
Radford,USA,19521,4/1/20
Rainbow Springs ( Rainbow Lakes Estates ),USA,4667,4/1/20
Raleigh,USA,1106646,4/1/20
Ramona,USA,14837,4/1/20
Rancho Calaveras,USA,8164,4/1/20
Ranson - Charles Town,USA,21569,4/1/20
Rantoul,USA,13654,4/1/20
Rapid City,USA,85679,4/1/20
Rathdrum,USA,9241,4/1/20
Raton,USA,5629,4/1/20
Ravena - Bethlehem,USA,9346,4/1/20
Rawlins,USA,7700,4/1/20
Raymond,USA,5266,4/1/20
Raymondville,USA,12986,4/1/20
Rayne,USA,8493,4/1/20
Reading,USA,276278,4/1/20
Red Bluff,USA,19826,4/1/20
Redding,USA,120602,4/1/20
Redmond,USA,33293,4/1/20
Red Oak,USA,5516,4/1/20
Red Wing,USA,14857,4/1/20
Redwood Falls,USA,4608,4/1/20
Reedley - Dinuba,USA,49614,4/1/20
Reedsburg,USA,10067,4/1/20
Reedsport,USA,4503,4/1/20
Reidsville,USA,14653,4/1/20
Reno,USA,446529,4/1/20
Rensselaer,USA,5509,4/1/20
Republic,USA,18446,4/1/20
Rexburg,USA,41330,4/1/20
Rhinelander,USA,9738,4/1/20
Rice Lake,USA,10156,4/1/20
Richfield,USA,8393,4/1/20
Richland Center,USA,4924,4/1/20
Richlands,USA,8746,4/1/20
Richmond,USA,43130,4/1/20
Richmond,USA,42999,4/1/20
Richmond,USA,6034,4/1/20
Richmond,USA,5857,4/1/20
Richmond,USA,1059150,4/1/20
Ridgecrest,USA,29307,4/1/20
Ridgefield,USA,25683,4/1/20
Ridgefield,USA,10356,4/1/20
Ridgway,USA,4259,4/1/20
Rifle,USA,11469,4/1/20
Rigby,USA,10283,4/1/20
Rincon,USA,14113,4/1/20
Rio Grande City - Roma,USA,47070,4/1/20
Rio Verde,USA,2765,4/1/20
Rio Vista,USA,9942,4/1/20
Ripley,USA,6922,4/1/20
Ripon,USA,15829,4/1/20
Ripon,USA,8059,4/1/20
Rising Sun,USA,5788,4/1/20
River Falls,USA,16344,4/1/20
Riverhead - Southold,USA,51120,4/1/20
Riverside - San Bernardino,USA,2276703,4/1/20
Riverton,USA,11234,4/1/20
Roanoke,USA,217312,4/1/20
Roanoke Rapids,USA,23400,4/1/20
Roaring Spring,USA,6239,4/1/20
Robertsdale,USA,7429,4/1/20
Robinson,USA,6134,4/1/20
Robstown,USA,10775,4/1/20
Rochelle,USA,11013,4/1/20
Rochester,USA,7333,4/1/20
Rochester,USA,121587,4/1/20
Rochester,USA,704327,4/1/20
Rockaway Beach,USA,1761,4/1/20
Rockdale,USA,5464,4/1/20
Rockford,USA,276443,4/1/20
Rock Hill,USA,218443,4/1/20
Rockingham,USA,23833,4/1/20
Rockland,USA,9868,4/1/20
Rockmart,USA,7743,4/1/20
Rockport,USA,16217,4/1/20
Rock Springs,USA,25853,4/1/20
Rocky Mount,USA,63297,4/1/20
Rocky Mount,USA,5411,4/1/20
Rogersville,USA,6154,4/1/20
Rolla,USA,20610,4/1/20
Rome,USA,60403,4/1/20
Rome,USA,29222,4/1/20
Roosevelt,USA,6316,4/1/20
Rosamond,USA,17538,4/1/20
Roseburg,USA,43484,4/1/20
Roswell,USA,48831,4/1/20
Round Lake Beach - McHenry - Grayslake,USA,261835,4/1/20
Roxboro,USA,9500,4/1/20
Roxborough Park,USA,9090,4/1/20
Royse City,USA,13922,4/1/20
Ruidoso,USA,11042,4/1/20
Rumford,USA,5585,4/1/20
Running Springs,USA,5313,4/1/20
Rupert,USA,6534,4/1/20
Rushville,USA,6469,4/1/20
Russell,USA,4066,4/1/20
Russells Point,USA,6451,4/1/20
Russellville,USA,9939,4/1/20
Russellville,USA,31870,4/1/20
Russellville,USA,6641,4/1/20
Ruston,USA,28839,4/1/20
Rutland,USA,19550,4/1/20
Sacramento,USA,1946618,4/1/20
Safford,USA,18331,4/1/20
Saginaw,USA,116058,4/1/20
Sahuarita,USA,17276,4/1/20
Salamanca,USA,6375,4/1/20
Salem,USA,7153,4/1/20
Salem,USA,6617,4/1/20
Salem,USA,4684,4/1/20
Salem,USA,5927,4/1/20
Salem,USA,15924,4/1/20
Salem,USA,268331,4/1/20
Salida,USA,5953,4/1/20
Salina,USA,46547,4/1/20
Salinas,USA,177532,4/1/20
Salisbury,USA,78075,4/1/20
Sallisaw,USA,7513,4/1/20
Salt Lake City,USA,1178533,4/1/20
San Angelo,USA,99982,4/1/20
San Antonio,USA,1992689,4/1/20
Sandersville,USA,7097,4/1/20
San Diego,USA,3070300,4/1/20
San Diego Country Estates,USA,7002,4/1/20
Sandpoint,USA,12824,4/1/20
Sandusky - Port Clinton,USA,61743,4/1/20
Sandy,USA,13173,4/1/20
Sanford,USA,15067,4/1/20
Sanford,USA,36641,4/1/20
San Francisco - Oakland,USA,3269385,4/1/20
Sanger,USA,27325,4/1/20
Sanger,USA,8279,4/1/20
San Jose,USA,1837446,4/1/20
San Luis,USA,24790,4/1/20
San Luis Obispo,USA,56904,4/1/20
San Marcos,USA,70801,4/1/20
San Rafael - Novato,USA,246548,4/1/20
Santa Barbara,USA,202197,4/1/20
Santa Clarita,USA,278031,4/1/20
Santa Cruz,USA,169038,4/1/20
Santa Fe,USA,94241,4/1/20
Santa Maria,USA,143609,4/1/20
Santa Paula,USA,30675,4/1/20
Santa Rosa,USA,297329,4/1/20
Saranac Lake,USA,5163,4/1/20
Saratoga Springs,USA,75684,4/1/20
Sauk Centre,USA,4849,4/1/20
Sault Ste. Marie,USA,12877,4/1/20
Savannah,USA,309466,4/1/20
Savannah,USA,5253,4/1/20
Savannah,USA,8828,4/1/20
Sayre - Waverly,USA,17262,4/1/20
Scappoose,USA,9652,4/1/20
Schuyler,USA,6522,4/1/20
Schuylkill Haven - Orwigsburg,USA,14265,4/1/20
Scott City,USA,4949,4/1/20
Scottsbluff,USA,25104,4/1/20
Scottsboro,USA,10791,4/1/20
Scottsburg,USA,7578,4/1/20
Scottsville,USA,4637,4/1/20
Scranton,USA,366713,4/1/20
Seabrook Island,USA,3371,4/1/20
Seaford - Laurel - Bridgeville,USA,29147,4/1/20
Sealy,USA,6385,4/1/20
Searcy,USA,26652,4/1/20
Seaside,USA,9183,4/1/20
Seaside - Monterey - Pacific Grove,USA,123495,4/1/20
Seattle - Tacoma,USA,3544011,4/1/20
Sebastopol,USA,18734,4/1/20
Sebring - Avon Park,USA,63297,4/1/20
Sedalia,USA,26043,4/1/20
Sedona,USA,9190,4/1/20
Seguin,USA,28998,4/1/20
Selma,USA,21207,4/1/20
Selma,USA,32546,4/1/20
Seminole,USA,6283,4/1/20
Seminole,USA,7068,4/1/20
Senatobia,USA,6817,4/1/20
Seneca,USA,23105,4/1/20
Sequim,USA,24864,4/1/20
Severance,USA,6408,4/1/20
Sevierville,USA,34032,4/1/20
Seward,USA,7473,4/1/20
Seymour,USA,24247,4/1/20
Seymour,USA,15219,4/1/20
Shafter,USA,19278,4/1/20
Shamokin - Mount Carmel,USA,28461,4/1/20
Sharon - Hermitage,USA,42169,4/1/20
Shawano,USA,12229,4/1/20
Shawnee,USA,34245,4/1/20
Sheboygan,USA,74369,4/1/20
Shelby,USA,25955,4/1/20
Shelby,USA,9317,4/1/20
Shelbyville,USA,4872,4/1/20
Shelbyville,USA,21208,4/1/20
Shelbyville,USA,23143,4/1/20
Shelbyville,USA,22552,4/1/20
Sheldon,USA,5381,4/1/20
Shelley,USA,5109,4/1/20
Shelton,USA,14907,4/1/20
Shenandoah,USA,4872,4/1/20
Shenandoah - Frackville,USA,12025,4/1/20
Sheridan,USA,4710,4/1/20
Sheridan,USA,6464,4/1/20
Sheridan,USA,19430,4/1/20
Sherman - Denison,USA,66691,4/1/20
Shinnston,USA,4361,4/1/20
Shippensburg,USA,17014,4/1/20
Shiprock,USA,6190,4/1/20
Show Low,USA,12173,4/1/20
Shreveport,USA,288052,4/1/20
Sidney,USA,6522,4/1/20
Sidney,USA,6232,4/1/20
Sidney,USA,4247,4/1/20
Sidney,USA,20734,4/1/20
Sierra Vista,USA,54274,4/1/20
Sikeston,USA,17683,4/1/20
Siler City,USA,8616,4/1/20
Siloam Springs,USA,18027,4/1/20
Silsbee,USA,9234,4/1/20
Silver City,USA,11817,4/1/20
Silver Creek,USA,3566,4/1/20
Silver Lakes,USA,5908,4/1/20
Silverthorne - Keystone,USA,13867,4/1/20
Silverton,USA,10909,4/1/20
Simi Valley,USA,127364,4/1/20
Sinton,USA,5661,4/1/20
Sioux Center,USA,8222,4/1/20
Sioux City,USA,113066,4/1/20
Sioux Falls,USA,194283,4/1/20
Sitka,USA,7668,4/1/20
Skiatook,USA,7342,4/1/20
Skowhegan,USA,4795,4/1/20
Slatington,USA,8362,4/1/20
Slaton,USA,5678,4/1/20
Slidell,USA,91587,4/1/20
Slippery Rock,USA,7226,4/1/20
Smithfield,USA,21921,4/1/20
Smithfield,USA,9725,4/1/20
Smithville,USA,4825,4/1/20
Smithville,USA,9684,4/1/20
Snoqualmie,USA,17070,4/1/20
Snowflake,USA,5342,4/1/20
Snowmass Village,USA,2392,4/1/20
Snyder,USA,11547,4/1/20
Socorro,USA,8122,4/1/20
Soldotna,USA,4646,4/1/20
Soledad,USA,18946,4/1/20
Solvang - Santa Ynez,USA,10295,4/1/20
Somerset,USA,30832,4/1/20
Somerset,USA,10098,4/1/20
Somerton,USA,13847,4/1/20
Sonoma,USA,31479,4/1/20
Sonora - Twain Harte,USA,29013,4/1/20
Sonterra,USA,9024,4/1/20
South Bend,USA,278921,4/1/20
South Berwick,USA,5584,4/1/20
South Boston,USA,7413,4/1/20
Southbridge Town,USA,20789,4/1/20
South Haven,USA,6357,4/1/20
South Hill,USA,5076,4/1/20
South Lake Tahoe,USA,31363,4/1/20
South Lyon - Hamburg - Genoa,USA,145963,4/1/20
South Paris,USA,4371,4/1/20
South Pittsburg - Bridgeport,USA,4687,4/1/20
Sparta,USA,5630,4/1/20
Sparta,USA,5691,4/1/20
Sparta,USA,10185,4/1/20
Spartanburg,USA,196943,4/1/20
Spearfish,USA,13206,4/1/20
Spencer,USA,10967,4/1/20
Spencer,USA,8196,4/1/20
Spicer - New London,USA,3358,4/1/20
Spirit Lake,USA,12956,4/1/20
Spokane,USA,447279,4/1/20
Spout Springs,USA,18281,4/1/20
Springfield,USA,159265,4/1/20
Springfield,USA,442145,4/1/20
Springfield,USA,282651,4/1/20
Springfield,USA,82369,4/1/20
Springfield,USA,18430,4/1/20
Springfield,USA,5140,4/1/20
Spring Hill ( Brooksville ),USA,169050,4/1/20
Spring Hill,USA,7344,4/1/20
Springhill,USA,5931,4/1/20
Spring Hill,USA,60309,4/1/20
Stafford Springs,USA,5107,4/1/20
St. Albans,USA,11368,4/1/20
Stansbury Park,USA,12804,4/1/20
Stanwood,USA,7678,4/1/20
Star,USA,10673,4/1/20
Starke,USA,6486,4/1/20
Starkville,USA,32812,4/1/20
State College,USA,83674,4/1/20
Statesboro,USA,44488,4/1/20
Statesville,USA,39829,4/1/20
St. Augustine,USA,91786,4/1/20
Staunton,USA,4866,4/1/20
Staunton - Waynesboro,USA,59065,4/1/20
Stayton,USA,11122,4/1/20
St. Clair,USA,6303,4/1/20
St. Cloud,USA,117638,4/1/20
Steamboat Springs,USA,14455,4/1/20
Ste. Genevieve,USA,4988,4/1/20
Stephenville,USA,20852,4/1/20
Sterling,USA,12278,4/1/20
Sterling,USA,27602,4/1/20
Steubenville - Weirton,USA,64981,4/1/20
Stevens Point,USA,44185,4/1/20
Stevensville - Chester - Romancoke,USA,18874,4/1/20
Stewartville,USA,6635,4/1/20
St. Francis,USA,6157,4/1/20
St. George,USA,134109,4/1/20
St. Helen,USA,2522,4/1/20
St. Helena,USA,6086,4/1/20
St. Helens,USA,19112,4/1/20
St. Ignace,USA,3457,4/1/20
Stillwater,USA,31474,4/1/20
Stillwater,USA,48237,4/1/20
St. James,USA,7029,4/1/20
St. James City,USA,2055,4/1/20
St. Johns,USA,8370,4/1/20
St. Johnsbury,USA,4883,4/1/20
St. Joseph,USA,77187,4/1/20
St. Louis,USA,2156323,4/1/20
St. Martinville,USA,6399,4/1/20
St. Marys,USA,9452,4/1/20
St. Marys,USA,9402,4/1/20
Stockton,USA,414847,4/1/20
Storm Lake,USA,11860,4/1/20
