city,country,population,reference_date,state
"Fóshān ( incl. Gāomíng, Nánhǎi, Sānshuǐ, Shùndé )",China,6771895,2010-11-01,guangdong
Gāozhōu,China,352006,2010-11-01,guangdong
Guăngníng,China,156304,2010-11-01,guangdong
"Guăngzhōu ( incl. Cónghuà, Huādū, Pānyú, Zēngchéng ) [ Canton ]",China,10641408,2010-11-01,guangdong
Hăifēng,China,489304,2010-11-01,guangdong
Hépíng,China,103233,2010-11-01,guangdong
Hèshān,China,282580,2010-11-01,guangdong
Héyuán,China,450953,2010-11-01,guangdong
Huáijí,China,161544,2010-11-01,guangdong
Huàzhōu,China,320418,2010-11-01,guangdong
Huìdōng,China,473147,2010-11-01,guangdong
Huìlái,China,434958,2010-11-01,guangdong
Huìzhōu ( incl. Huìyáng ) [ Huizhou ],China,1807858,2010-11-01,guangdong
Jiāngmén ( incl. Xīnhuì ),China,1480023,2010-11-01,guangdong
Jiāolĭng,China,98287,2010-11-01,guangdong
Jiēxī,China,247236,2010-11-01,guangdong
Jiēyáng ( incl. Jiēdōng ),China,1226848,2010-11-01,guangdong
Kāipíng,China,371019,2010-11-01,guangdong
Lèchāng,China,191457,2010-11-01,guangdong
Léizhōu,China,344043,2010-11-01,guangdong
Liánjiāng,China,359225,2010-11-01,guangdong
Liánpíng,China,110851,2010-11-01,guangdong
Liánzhōu ( Liánxiàn ),China,161667,2010-11-01,guangdong
Lóngchuān,China,190368,2010-11-01,guangdong
Lóngmén,China,90831,2010-11-01,guangdong
Lùfēng,China,579527,2010-11-01,guangdong
Lùhé,China,150902,2010-11-01,guangdong
Luódìng,China,263338,2010-11-01,guangdong
Màomíng ( incl. Diànbái ) [ Maoming ],China,1033196,2010-11-01,guangdong
Méizhōu ( incl. Méixiàn ),China,612551,2010-11-01,guangdong
Nánxióng,China,140017,2010-11-01,guangdong
Píngyuăn,China,106250,2010-11-01,guangdong
Pŭníng,China,874954,2010-11-01,guangdong
Qīngyuăn ( incl. Qīngxīn ) [ Qingyuan ],China,916453,2010-11-01,guangdong
Ráopíng,China,418709,2010-11-01,guangdong
Rénhuà,China,73858,2010-11-01,guangdong
Rŭyuán,China,73580,2010-11-01,guangdong
"Shàntóu ( incl. Cháoyáng, Chénghǎi ) [ Shantou ]",China,3644017,2010-11-01,guangdong
Shànwĕi,China,370608,2010-11-01,guangdong
Sháoguān ( incl. Qūjiāng ) [ Shaoguan ],China,726267,2010-11-01,guangdong
Shēnzhèn ( incl. Bǎo'ān ),China,10358381,2010-11-01,guangdong
Shĭxīng,China,76313,2010-11-01,guangdong
Sìhuì,China,355709,2010-11-01,guangdong
Suìxī,China,252792,2010-11-01,guangdong
Táishān,China,394855,2010-11-01,guangdong
Wēngyuán,China,103372,2010-11-01,guangdong
Wúchuān,China,332672,2010-11-01,guangdong
Wŭhuá,China,245631,2010-11-01,guangdong
Xīnfēng,China,99897,2010-11-01,guangdong
Xīngníng,China,392000,2010-11-01,guangdong
Xīnxīng,China,160209,2010-11-01,guangdong
Xìnyí,China,333965,2010-11-01,guangdong
Xúwén,China,238246,2010-11-01,guangdong
Yángchūn,China,287391,2010-11-01,guangdong
Yángjiāng ( incl. Yángdōng ),China,692540,2010-11-01,guangdong
Yángshān,China,125246,2010-11-01,guangdong
Yángxī,China,153771,2010-11-01,guangdong
Yīngdé,China,346927,2010-11-01,guangdong
Yùnán,China,152342,2010-11-01,guangdong
Yúnfú ( incl. Yún'ān ),China,298914,2010-11-01,guangdong
Zhànjiāng [ Zhanjiang ],China,1038762,2010-11-01,guangdong
Zhàoqìng ( incl. Gāoyào ) [ Zhaoqing ],China,784642,2010-11-01,guangdong
Zhōngshān,China,2740994,2010-11-01,guangdong
Zhūhăi ( incl. Dòumén ) [ Zhuhai ],China,1369538,2010-11-01,guangdong
Zĭjīn,China,231072,2010-11-01,guangdong
Băisè ( Bósè ),China,185497,2010-11-01,guangxi
Bāmă,China,37267,2010-11-01,guangxi
Bĕihăi [ Beihai ],China,431285,2010-11-01,guangxi
Bĕiliú,China,652853,2010-11-01,guangxi
Bīnyáng,China,265157,2010-11-01,guangxi
Bóbái,China,367495,2010-11-01,guangxi
Cāngwú,China,99581,2010-11-01,guangxi
Cénxī ( Cénchéng ),China,337052,2010-11-01,guangxi
Chóngzuǒ,China,113539,2010-11-01,guangxi
Dàhuà,China,71802,2010-11-01,guangxi
Dàxīn,China,58829,2010-11-01,guangxi
Débăo,China,53451,2010-11-01,guangxi
Dōngxīng,China,92267,2010-11-01,guangxi
Dū'ān,China,83348,2010-11-01,guangxi
Fángchénggăng,China,278955,2010-11-01,guangxi
Fùchuān,China,72087,2010-11-01,guangxi
Fúsuí,China,127371,2010-11-01,guangxi
Gōngchéng,China,49063,2010-11-01,guangxi
Guànyáng,China,48898,2010-11-01,guangxi
Guìgăng,China,658887,2010-11-01,guangxi
Guìlín ( incl. Línguì ) [ Guilin ],China,963629,2010-11-01,guangxi
Guìpíng,China,508212,2010-11-01,guangxi
Héchí,China,197858,2010-11-01,guangxi
Héngxiàn,China,232183,2010-11-01,guangxi
Hépŭ,China,264530,2010-11-01,guangxi
Héshān,China,66118,2010-11-01,guangxi
Hèzhōu,China,379889,2010-11-01,guangxi
Huánjiāng,China,67292,2010-11-01,guangxi
Jìngxī,China,92786,2010-11-01,guangxi
Láibīn,China,315875,2010-11-01,guangxi
Língchuān,China,123534,2010-11-01,guangxi
Língshān,China,248437,2010-11-01,guangxi
Língyún,China,30042,2010-11-01,guangxi
Lìpŭ,China,134908,2010-11-01,guangxi
Liŭchéng,China,121395,2010-11-01,guangxi
Liŭzhōu ( incl. Liǔjiāng ) [ Liuzhou ],China,1624571,2010-11-01,guangxi
Lóng'ān,China,70103,2010-11-01,guangxi
Lónglín,China,45598,2010-11-01,guangxi
Lóngzhōu,China,67203,2010-11-01,guangxi
Lùchuān,China,252296,2010-11-01,guangxi
Luóchéng,China,70238,2010-11-01,guangxi
Lùzhài,China,177290,2010-11-01,guangxi
Măshān,China,76096,2010-11-01,guangxi
Nándān,China,98233,2010-11-01,guangxi
Nánníng ( incl. Yōngníng ) [ Nanning ],China,2660833,2010-11-01,guangxi
Níngmíng,China,68391,2010-11-01,guangxi
Píngguŏ,China,164135,2010-11-01,guangxi
Pínglè,China,92870,2010-11-01,guangxi
Píngnán,China,488830,2010-11-01,guangxi
Píngxiáng,China,65044,2010-11-01,guangxi
Pŭbĕi,China,165945,2010-11-01,guangxi
Qīnzhōu,China,489139,2010-11-01,guangxi
Quánzhōu,China,143042,2010-11-01,guangxi
Róng'ān,China,95898,2010-11-01,guangxi
Róngshuĭ,China,103627,2010-11-01,guangxi
Róngxiàn,China,185002,2010-11-01,guangxi
Sānjiāng,China,44101,2010-11-01,guangxi
Shànglín,China,87912,2010-11-01,guangxi
Téngxiàn,China,202425,2010-11-01,guangxi
Tiāndĕng,China,54201,2010-11-01,guangxi
Tiándōng,China,94689,2010-11-01,guangxi
Tiányáng,China,96233,2010-11-01,guangxi
Wŭmíng,China,186049,2010-11-01,guangxi
Wŭxuān,China,112768,2010-11-01,guangxi
Wúzhōu,China,551462,2010-11-01,guangxi
Xiàngzhōu,China,91020,2010-11-01,guangxi
Xīnchéng,China,74501,2010-11-01,guangxi
Xīng'ān,China,97693,2010-11-01,guangxi
Xīngyè,China,167348,2010-11-01,guangxi
Yángshuò,China,72807,2010-11-01,guangxi
Yízhōu ( Yíshān ),China,155365,2010-11-01,guangxi
Yŏngfú,China,53174,2010-11-01,guangxi
Yùlín [ Yulin ],China,547924,2010-11-01,guangxi
Zhāopíng,China,124323,2010-11-01,guangxi
Zhōngshān,China,113246,2010-11-01,guangxi
Ānlóng,China,93593,2010-11-01,guizhou
Ānshùn,China,358920,2010-11-01,guizhou
Bìjié,China,421342,2010-11-01,guizhou
Cèhēng,China,33400,2010-11-01,guizhou
Céngŏng,China,32509,2010-11-01,guizhou
Chángshùn,China,42719,2010-11-01,guizhou
Chìshuĭ,China,80884,2010-11-01,guizhou
Cóngjiāng,China,39935,2010-11-01,guizhou
Dàfāng,China,187914,2010-11-01,guizhou
Dàozhēn,China,62295,2010-11-01,guizhou
Déjiāng,China,80437,2010-11-01,guizhou
Dúshān,China,66415,2010-11-01,guizhou
Dūyún,China,217091,2010-11-01,guizhou
Fènggāng,China,82080,2010-11-01,guizhou
Fúquán,China,125389,2010-11-01,guizhou
Guānlĭng,China,55455,2010-11-01,guizhou
Guìdìng,China,74899,2010-11-01,guizhou
Guìyáng [ Guiyang ],China,2520061,2010-11-01,guizhou
Hèzhāng,China,109155,2010-11-01,guizhou
Huángpíng,China,49900,2010-11-01,guizhou
Huìshuĭ,China,71721,2010-11-01,guizhou
Jiāngkŏu,China,40624,2010-11-01,guizhou
Jiànhé,China,35546,2010-11-01,guizhou
Jīnshā,China,168400,2010-11-01,guizhou
Kăilĭ,China,274922,2010-11-01,guizhou
Kāiyáng,China,112365,2010-11-01,guizhou
Lípíng,China,73084,2010-11-01,guizhou
Liùpánshuĭ [ Liupanshui ],China,491438,2010-11-01,guizhou
Liùzhī,China,130050,2010-11-01,guizhou
Lónglĭ,China,48914,2010-11-01,guizhou
Luódiàn,China,42318,2010-11-01,guizhou
Méitán,China,104997,2010-11-01,guizhou
Nàyōng,China,167248,2010-11-01,guizhou
Pánzhōu ( Pánxiàn ),China,176237,2010-11-01,guizhou
Píngbà,China,95601,2010-11-01,guizhou
Píngtáng,China,48536,2010-11-01,guizhou
Pŭ'ān,China,51617,2010-11-01,guizhou
Pŭdìng,China,71086,2010-11-01,guizhou
Qiánxī,China,214803,2010-11-01,guizhou
Qínglóng,China,48956,2010-11-01,guizhou
Qīngzhèn,China,166916,2010-11-01,guizhou
Rénhuái,China,171005,2010-11-01,guizhou
Róngjiāng,China,46610,2010-11-01,guizhou
Sāndū,China,36209,2010-11-01,guizhou
Sānsuì,China,43501,2010-11-01,guizhou
Shíqiān,China,73359,2010-11-01,guizhou
Shuĭchéng,China,18878,2010-11-01,guizhou
Sīnán,China,115462,2010-11-01,guizhou
Sōngtáo,China,84901,2010-11-01,guizhou
Suíyáng,China,104199,2010-11-01,guizhou
Tiānzhù,China,61161,2010-11-01,guizhou
Tóngrén [ incl. Wànshān Qū ],China,218542,2010-11-01,guizhou
Tóngzĭ,China,147718,2010-11-01,guizhou
Wàngmó,China,44579,2010-11-01,guizhou
Wēiníng,China,239160,2010-11-01,guizhou
Wèng'ān,China,123264,2010-11-01,guizhou
Wùchuān,China,85411,2010-11-01,guizhou
Xīfēng,China,60130,2010-11-01,guizhou
Xīngrén,China,113043,2010-11-01,guizhou
Xīngyì,China,335243,2010-11-01,guizhou
Xíshuĭ,China,134646,2010-11-01,guizhou
Xiūwén,China,72813,2010-11-01,guizhou
Yánhé,China,77468,2010-11-01,guizhou
Yìnjiāng,China,66334,2010-11-01,guizhou
Yùpíng,China,46863,2010-11-01,guizhou
Yúqìng,China,77274,2010-11-01,guizhou
Zhēnfēng,China,68402,2010-11-01,guizhou
Zhèng'ān,China,99795,2010-11-01,guizhou
Zhènníng,China,69662,2010-11-01,guizhou
Zhènyuăn,China,69439,2010-11-01,guizhou
Zhījīn,China,202443,2010-11-01,guizhou
Zĭyún,China,39941,2010-11-01,guizhou
Zūnyì ( incl. Bōzhōu ) [ Zunyi ],China,995311,2010-11-01,guizhou
Băotíng,China,46000,2010-11-01,hainan
Chāngjiāng,China,106960,2010-11-01,hainan
Chéngmài,China,184266,2010-11-01,hainan
Dānzhōu ( Danxian ),China,370000,2010-11-01,hainan
Dìng'ān,China,104960,2010-11-01,hainan
Dōngfāng,China,153726,2010-11-01,hainan
Hăikŏu ( incl. Qiongshan ) [ Haikou ],China,1517410,2010-11-01,hainan
Lèdōng,China,132625,2010-11-01,hainan
Língāo,China,155595,2010-11-01,hainan
Língshuĭ,China,118176,2010-11-01,hainan
Qiónghăi,China,194400,2010-11-01,hainan
Qióngzhōng,China,51767,2010-11-01,hainan
Sānyà ( Yaxian ),China,453819,2010-11-01,hainan
Túnchāng,China,100684,2010-11-01,hainan
Wànníng,China,221263,2010-11-01,hainan
Wénchāng,China,251795,2010-11-01,hainan
Wŭzhĭshān ( Tongshi ),China,53268,2010-11-01,hainan
Yángpŭ,China,50000,2010-11-01,hainan
Ānguó,China,135524,2010-11-01,hebei
Ānpíng,China,114678,2010-11-01,hebei
Ānxīn,China,167433,2010-11-01,hebei
Bǎixiāng,China,53467,2010-11-01,hebei
"Băodìng ( incl. Qīngyuàn, Mănchéng ) [ Baoding ]",China,1397350,2010-11-01,hebei
Bàzhōu ( Bàxiàn ),China,291710,2010-11-01,hebei
Bótóu,China,258203,2010-11-01,hebei
Bóyĕ,China,74534,2010-11-01,hebei
Cāngxiàn,China,107692,2010-11-01,hebei
Cāngzhōu,China,499411,2010-11-01,hebei
Cáofēidiàn ( Tánghǎi ),China,109126,2010-11-01,hebei
Chānglí,China,150886,2010-11-01,hebei
Chéng'ān,China,138137,2010-11-01,hebei
Chéngdé,China,101121,2010-11-01,hebei
Chéngdé,China,484027,2010-11-01,hebei
Chìchéng,China,62616,2010-11-01,hebei
Cíxiàn,China,200501,2010-11-01,hebei
Dàchăng,China,50722,2010-11-01,hebei
Dàchéng,China,171399,2010-11-01,hebei
Dàmíng,China,219453,2010-11-01,hebei
Dìngxīng,China,121080,2010-11-01,hebei
Dìngzhōu,China,482121,2010-11-01,hebei
Dōngguāng,China,147857,2010-11-01,hebei
Féixiāng,China,82244,2010-11-01,hebei
Fēngfēng,China,397379,2010-11-01,hebei
Fēngníng,China,99355,2010-11-01,hebei
Fùchéng,China,93672,2010-11-01,hebei
Fùpíng,China,40330,2010-11-01,hebei
Gāobēidiàn ( Xīnchéng ),China,274853,2010-11-01,hebei
Gāoyáng,China,100486,2010-11-01,hebei
Gāoyì,China,47020,2010-11-01,hebei
Gù'ān,China,171558,2010-11-01,hebei
Guăngpíng,China,74967,2010-11-01,hebei
Guăngzōng,China,59009,2010-11-01,hebei
Guăntáo,China,114624,2010-11-01,hebei
Gùchéng,China,158697,2010-11-01,hebei
Gūyuán,China,38575,2010-11-01,hebei
Hăixīng,China,61234,2010-11-01,hebei
Hándān ( incl. Yŏngnián ) [ Handan ],China,1540827,2010-11-01,hebei
Héjiān,China,243458,2010-11-01,hebei
Héngshuĭ ( incl. Jìzhōu ),China,554810,2010-11-01,hebei
Huái'ān,China,75489,2010-11-01,hebei
Huáilái,China,136843,2010-11-01,hebei
Huánghuá,China,296978,2010-11-01,hebei
Jĭngxiàn,China,182813,2010-11-01,hebei
Jĭngxíng,China,91804,2010-11-01,hebei
Jìnzhōu ( Jìnxiàn ),China,160284,2010-11-01,hebei
Jīzé,China,76598,2010-11-01,hebei
Jùlù,China,127344,2010-11-01,hebei
Kuānchéng,China,86762,2010-11-01,hebei
Láishuĭ,China,99998,2010-11-01,hebei
Láiyuán,China,77610,2010-11-01,hebei
Lángfāng,China,530840,2010-11-01,hebei
Làotíng,China,154632,2010-11-01,hebei
Línchéng,China,63400,2010-11-01,hebei
Língshòu,China,89340,2010-11-01,hebei
Línxī,China,119056,2010-11-01,hebei
Línzhāng,China,194110,2010-11-01,hebei
Lĭxiàn,China,164230,2010-11-01,hebei
Lónghuà,China,96253,2010-11-01,hebei
Lóngyáo,China,172669,2010-11-01,hebei
Luánnán,China,198167,2010-11-01,hebei
Luánpíng,China,79856,2010-11-01,hebei
Luánzhōu,China,208212,2010-11-01,hebei
Lúlóng,China,65371,2010-11-01,hebei
Mèngcūn,China,85885,2010-11-01,hebei
Nángōng,China,188260,2010-11-01,hebei
Nánpí,China,94508,2010-11-01,hebei
Nèiqiū,China,84416,2010-11-01,hebei
Níngjìn,China,258301,2010-11-01,hebei
Píngquán,China,136401,2010-11-01,hebei
Píngshān,China,131550,2010-11-01,hebei
Píngxiāng,China,93711,2010-11-01,hebei
Qiān'ān,China,308849,2010-11-01,hebei
Qiānxī,China,160113,2010-11-01,hebei
Qīnghé,China,168740,2010-11-01,hebei
Qīnglóng,China,114643,2010-11-01,hebei
Qīngxiàn,China,176612,2010-11-01,hebei
Qínhuángdăo ( incl. Fŭníng ) [ Qinhuangdao ],China,1088587,2010-11-01,hebei
Qiūxiàn,China,82214,2010-11-01,hebei
Qŭyáng,China,124237,2010-11-01,hebei
Qŭzhōu,China,113309,2010-11-01,hebei
