prov_id,names,owner,population,year,victory_points
15939,Aeropuerto Internacional Las Américas; Las Américas International Airport,DMR,,,1
6922,Tanch'ŏn; Tanchon,DPK,77317,2025,
7070,Koksan,DPK,93927,2025,
6944,Rason; Rasŏn,DPK,128331,2025,
3912,Huichon; Hŭich'ŏn,DPK,144337,2025,
4052,Namp'o; Nampo,DPK,144643,2025,
9790,Kaech'ŏn; Kaechon,DPK,200016,2025,
3803,Hyesan,DPK,241782,2025,
4107,Haeju,DPK,263992,2025,
12040,Kaesong; Kaesŏng,DPK,280963,2025,
11835,Sinuiju; Sinŭiju,DPK,308840,2025,
11828,Kanggye,DPK,314915,2025,
848,Wonsan; Wŏnsan,DPK,370729,2025,
14609,Hamhung; Hamhŭng,DPK,393816,2025,
11915,Sariwon; Sariwŏn,DPK,401117,2025,
14607,Ch'ŏngjin; Chongjin,DPK,683870,2025,
14604,P'yŏngyang; Pyongyang,DPK,2868313,2025,
11958,Changchŏn; Jangjon,DPK,8000,2025,
14605,P'yŏngyang Kukche Pihaengjang; Pyongyang Gukjegonghang; Pyongyang International Airport,DPK,,,1
7079,As-Sallūm; Sallum,EGY,14349,2018,
1155,B'īr al-'Abd; Bir al-Abd,EGY,14277,2006,
12764,Siwa; Sīwa,EGY,16056,2006,
5078,Mut,EGY,20439,2006,
11910,Aḍ-Ḍab'ah; El Dabaa,EGY,16559,2006,
9947,Sharm El-Sheikh; Sharm ash-Shaykh,EGY,38478,2006,
10099,Aṭ-Ṭūr; El-Tor,EGY,19826,2006,
4068,Al-Quṣayr; Quseer,EGY,35045,2006,
14534,Al-Kharijah; Kharga,EGY,60584,2006,
14537,Al-'Arīsh; Arish,EGY,115903,2025,
12002,Al-Ghurdaqah; Hurghada,EGY,137973,2025,
11967,Marsa Matrouh; Marsā Maṭrūḥ,EGY,191313,2025,
7091,Kafr Ash-Shaykh; Kafr El-Shaikh,EGY,147393,2006,
12044,Sawhāj; Sohag,EGY,190132,2006,
11999,Aswan; Aswān,EGY,472978,2025,
4073,As-Suways; Suez,EGY,557510,2025,
10005,Al-Manṣūrah; Mansoura,EGY,439348,2006,
14540,Damietta; Dumyāṭ,EGY,727330,2025,
1068,Al-Fayyūm; Faiyum,EGY,741406,2025,
12049,Būr Sa'īd; Port Said,EGY,874651,2025,
14542,Tanta; Ṭanṭā,EGY,941974,2025,
11974,Asyut; Asyūṭ,EGY,1152515,2025,
4055,Al-Jīzah; Giza,EGY,3021542,2006,
12071,Al-Uqṣur; Luxor,EGY,6314420,2025,
4076,Al-Iskandariyah; Alexandria,EGY,6931369,2025,
12004,Al-Qāhirah; Cairo,EGY,25230325,2025,
7011,Cairo International Airport; Maṭār Al-Qāhirah Al-Dawli,EGY,,,2
14535,Būr Fo'ād; Fouad,EGY,81591,2015,
83,Haapsalu,EST,10251,2011,
6408,Valga,EST,12261,2011,
592,Võru,EST,12672,2011,
185,Kuressaare,EST,13166,2011,
11127,Rakvere,EST,15264,2011,
6178,Viljandi,EST,17473,2011,
3174,Pärnu,EST,39728,2011,
9221,Tartu,EST,74087,2025,
13833,Tallinn,EST,449861,2025,
13834,Tallinn Airport; Tallinna Lennujaam,EST,,,1
13836,Narva,EST,58663,2011,
13093,San Miguel,ESV,165222,2025,
15358,San Salvador,ESV,1615741,2025,
9228,Mariehamn,FIN,11190,2010,
6141,Äänekoski,FIN,20244,2010,
6163,Jämsä,FIN,22691,2010,
3172,Jakobstad,FIN,19656,2010,
9104,Iisalmi,FIN,22095,2010,
11125,Tornio,FIN,22513,2010,
3125,Kajaani,FIN,38157,2010,
32,Nokia,FIN,31647,2010,
66,Kokkola,FIN,46260,2010,
9194,Salo,FIN,55235,2010,
3013,Mikkeli,FIN,54455,2010,
6009,Porvoo,FIN,48768,2010,
9160,Jyväskylä,FIN,56663,2025,
67,Lahti,FIN,57174,2025,
124,Rovaniemi,FIN,60090,2010,
9038,Seinäjoki,FIN,57811,2010,
11066,Hämeenlinna,FIN,66829,2010,
3122,Vaasa,FIN,64345,2010,
6082,Lappeenranta,FIN,71982,2010,
3161,Kouvola,FIN,88072,2010,
9061,Joensuu,FIN,73305,2010,
169,Pori,FIN,85026,2010,
11121,Oulu,FIN,84384,2025,
204,Turku,FIN,104248,2025,
11141,Kuopio,FIN,112336,2010,
15108,Tampere,FIN,153567,2025,
11105,Helsinki,FIN,1001125,2025,
11211,Hanko,FIN,8000,2026,
15106,Helsinki-Vantaa Airport; Helsinki-Vantaan Lentoasema,FIN,,,1
373,Saint-Pierre,FRA,5223,2023,
485,Dieppe,FRA,40427,2007,
503,Angers,FRA,162720,2025,
542,Quimper,FRA,74883,2007,
551,Sézanne,FRA,5232,2007,
553,Alençon,FRA,43043,2007,
595,Angoulême,FRA,54289,2025,
620,Limoges,FRA,105730,2025,
648,Chalon-sur-Saône,FRA,78933,2007,
667,Nevers,FRA,64548,2007,
678,Mulhouse; Mülhausen,FRA,187082,2025,
743,Bayonne,FRA,89012,2025,
762,Valence,FRA,71751,2025,
769,Brioude,FRA,8103,2007,
929,Condom,FRA,7147,2007,
3402,Saint-Quentin,FRA,65694,2007,
3495,Laval,FRA,62842,2007,
3509,Le Mans,FRA,140414,2025,
3549,Évreux,FRA,61551,2007,
3621,Guéret,FRA,14983,2007,
3655,Bourges,FRA,53520,2025,
3681,Auxerre,FRA,44305,2007,
3751,Albi,FRA,71170,2007,
3762,Gap,FRA,38160,2007,
3768,Grenoble,FRA,348043,2025,
3771,Brive-la-Gaillarde,FRA,77137,2007,
3838,Ajaccio,FRA,57575,2025,
5291,Verdun,FRA,25378,2007,
6449,Cherbourg-en-Cotentin,FRA,57244,2025,
6504,Arras,FRA,60903,2025,
6529,Colmar,FRA,64537,2025,
6533,Blois,FRA,67984,2007,
6536,Lorient,FRA,72374,2025,
6545,Châlons-en-Champagne,FRA,57764,2007,
6547,Chatres,FRA,66599,2025,
6585,Beauvais,FRA,59016,2007,
6613,Lyon,FRA,1194741,2025,
6766,Toulouse,FRA,712882,2025,
6770,Mende,FRA,12153,2007,
6773,Aurillac,FRA,35970,2007,
6775,Agen,FRA,78517,2007,
6777,Arcachon,FRA,59774,2007,
6917,Carcassonne,FRA,48451,2007,
6975,Guillestre,FRA,3153,2007,
9434,Le Havre,FRA,168169,2025,
9490,Troyes,FRA,101937,2025,
9503,Strasbourg; Straßburg,FRA,419245,2025,
9505,Saint-Dizier,FRA,33772,2007,
9525,Saint-Brieuc,FRA,56276,2025,
9559,Thionville,FRA,130922,2007,
9561,Compiègne,FRA,71170,2007,
9607,Vichy,FRA,64977,2007,
9629,Châteauroux,FRA,65346,2007,
9642,Besançon,FRA,98834,2025,
9658,Langres,FRA,10067,2007,
9725,Étampes,FRA,27497,2007,
9732,Le Puy-en-Velay,FRA,38450,2007,
9737,Bordeaux,FRA,642756,2025,
9751,Périgueux,FRA,63379,2007,
9853,Perpignan,FRA,124596,2025,
9909,Nice,FRA,393492,2025,
11420,Abbeville,FRA,26870,2007,
11465,Nantes,FRA,472262,2025,
11483,Lille,FRA,907123,2025,
11491,Montereau-Fault-Yonne,FRA,25337,2007,
11506,Paris,FRA,9328385,2025,
11516,Nancy,FRA,217203,2025,
11518,Meaux,FRA,52429,2025,
11535,Caen,FRA,149422,2025,
11573,Annecy,FRA,123116,2025,
11582,Ruffec,FRA,4066,2007,
11596,Poiters,FRA,93032,2025,
11600,La Roche-sur-Yon,FRA,51124,2007,
11613,Cholet,FRA,54371,2007,
11697,Pau,FRA,95976,2025,
11699,Tarbes,FRA,78571,2007,
11702,Montauban,FRA,71343,2007,
11709,Millau,FRA,23536,2007,
11711,Alès,FRA,90630,2007,
11713,Montélimar,FRA,50415,2007,
11834,Marseille,FRA,911934,2025,
11849,Avignon,FRA,78051,2025,
11875,Aix-en-Provence,FRA,81548,2025,
13011,Reims,FRA,190718,2025,
13935,Metz,FRA,139827,2025,
13990,Tourcoing,FRA,98772,2023,
