City,Country,Population (2025)
Harare,Zimbabwe,2076037.334
Masaka,Uganda,141042.289
Urambo,Tanzania,51251.53819
Moatize,Mozambique,165147.446
Mizan Teferi,Ethiopia,70594.83414
Lodwar,Kenya,68119.30669
Diinsoor,Somalia,65100.80871
Ambano,Madagascar,230883.9115
Louga,Senegal,187360.2719
Kailahun,Sierra Leone,58471.36005
Kissidougou,Guinea,116024.2154
Daloa,Côte d'Ivoire,324486.2606
Kadiolo,Mali,72363.21831
Nkoranza,Ghana,71620.31657
Ouagadougou,Burkina Faso,3616268.287
Tsévié,Togo,96783.80397
Dassa-Zoumé,Benin,56173.67146
Aiyete,Nigeria,67710.90975
Tamaské Sabon Guida,Niger,53970.36861
Edéa,Cameroon,91832.43858
Panguila,Angola,54394.3063
Kwilu-Ngongo,Democratic Republic of the Congo,141569.4863
Bebedjia,Chad,60857.25775
Mossel Bay,South Africa,76856.52117
Lusaka,Zambia,3658064.188
Ruwa,Zimbabwe,183053.3971
Mityana,Uganda,54610.74583
Geita,Tanzania,176247.5738
Torit,South Sudan,526256.8321
Nhamatanda,Mozambique,80327.71054
Ghimbi,Ethiopia,71648.59126
Nakuru,Kenya,628217.6479
Amparihimahitsy,Madagascar,180166.4361
Kaolack,Senegal,406200.8382
Kouroussa,Guinea,51808.47664
Boundiali,Côte d'Ivoire,59196.83519
Sikasso,Mali,423182.4209
Obuasi,Ghana,233391.745
Djibo,Burkina Faso,60410.96764
Adétikopé,Togo,71174.22638
Cotonou,Benin,2647117.374
Abeokuta,Nigeria,806897.1129
Tchin-Tabaraden,Niger,149097.1405
Mbouda,Cameroon,65159.25023
Zango V Centrality,Angola,73314.66972
Mbanza-Ngungu,Democratic Republic of the Congo,218446.7695
Goré,Chad,54675.96658
Oudtshoorn,South Africa,76129.60067
Chilanga,Zambia,87213.51481
Marondera,Zimbabwe,88717.13596
Gulu,Uganda,205487.0389
Tunduma,Tanzania,152280.3016
Maxixe,Mozambique,97317.93829
Shahadi,Ethiopia,63691.01335
Naivasha,Kenya,244867.7157
Wajid,Somalia,119799.6654
Farafangana,Madagascar,74679.29409
Darou Mousty,Senegal,53486.55792
Macenta,Guinea,64467.409
Tengréla,Côte d'Ivoire,60122.20592
Zégoua,Mali,57825.01713
Patase,Ghana,101126.1859
Kaya,Burkina Faso,124685.7743
Akakopé,Togo,112837.4517
Covè,Benin,54846.38395
Igbo Ora,Nigeria,139009.4122
Madaoua,Niger,159571.1946
Bafoussam,Cameroon,331777.2622
Lobito,Angola,509172.5616
Kisantu,Democratic Republic of the Congo,183794.7034
Doba,Chad,162832.17
George,South Africa,199515.2946
Kalulushi,Zambia,67389.57894
Mutare,Zimbabwe,147135.4874
Kampala,Uganda,5177877.659
Kahama,Tanzania,147472.2356
Dondo,Mozambique,77491.64274
Sigmo,Ethiopia,73467.81215
Nairobi,Kenya,6646256.557
Gebiley,Somalia,60993.44518
Ankazomborona,Madagascar,62266.06012
Touba,Senegal,1170258.55
Sètiguiya,Guinea,54815.50235
Zuénoula,Côte d'Ivoire,62047.16545
Koutiala,Mali,286417.2678
Bekwai,Ghana,72487.93305
Pouytenga,Burkina Faso,94381.83358
Tchamba,Togo,51096.16733
Ouèssè,Benin,57613.01074
Ilero,Nigeria,64074.5852
Bouza,Niger,66090.68127
Ndop,Cameroon,59417.03379
Chibia,Angola,67791.61761
Kasangulu,Democratic Republic of the Congo,189184.4114
Bokoro,Chad,63728.27135
Fraaisig,South Africa,53885.22748
Kitwe,Zambia,731813.0732
Luweero,Uganda,54596.85727
Sengerema,Tanzania,148039.1977
Imehejek,South Sudan,128401.5906
Inhambane,Mozambique,68997.17065
Ngong,Kenya,75218.89971
Baidoa,Somalia,437223.2307
Manakara,Madagascar,82023.18319
Sédhiou,Senegal,60980.41171
Boukaria,Guinea,54414.23735
Bonon,Côte d'Ivoire,91045.42427
San,Mali,87173.30019
Mampong,Ghana,68579.47077
Tenkodogo,Burkina Faso,105418.7454
Tabligbo,Togo,67702.69288
Savè,Benin,55434.11397
Oke Iho,Nigeria,220540.2343
Abalak,Niger,176156.8112
Foumbot,Cameroon,52185.0737
Caxito,Angola,53145.4393
Kinshasa,Democratic Republic of the Congo,12945682.99
Koumra,Chad,155733.0135
KwaNobuhle,South Africa,127189.6312
Mufulira,Zambia,179085.5227
Vwawa,Tanzania,76244.80638
Lira,Uganda,142859.2164
Ikotos,South Sudan,98913.87103
Beira,Mozambique,627141.8472
Chagni,Ethiopia,106013.6618
Ndenderu,Kenya,54108.76624
Hargeisa,Somalia,1500449.28
Ambohitrimanjaka,Madagascar,58641.89973
Richard-Toll,Senegal,80805.62807
Kankan,Guinea,287892.2956
Gagnoa,Côte d'Ivoire,211572.3068
Mopti,Mali,66634.39635
Ejura,Ghana,53163.80522
Koupéla,Burkina Faso,62822.76192
Vogan,Togo,57378.94443
Porto-Novo,Benin,815039.8996
Saki,Nigeria,392972.6133
Guidan Roumdji,Niger,53979.69071
Kumbo,Cameroon,125455.8693
Sumbe,Angola,193656.4886
Maluku,Democratic Republic of the Congo,94833.70575
Kariega,South Africa,115933.9616
Kabwe,Zambia,236405.3389
Tabora,Tanzania,199592.422
Lugazi,Uganda,58866.56623
Riwoto,South Sudan,432309.6866
Massinga,Mozambique,59267.007
Bedele,Ethiopia,66650.2336
Ongata Rongai,Kenya,144132.1414
Hudur,Somalia,87186.81987
Antananarivo,Madagascar,4255253.768
Kaffrine,Senegal,94450.60387
Banankoro,Guinea,78514.84999
Sinfra,Côte d'Ivoire,120618.454
Sévaré,Mali,144436.7296
Elmina,Ghana,56265.083
Dori,Burkina Faso,61563.10119
Parakou,Benin,392540.7189
Magboro,Nigeria,264612.6568
Dakoro,Niger,113322.2001
Foumban,Cameroon,174723.8181
Chingo,Angola,97605.53171
Kasongo-Lunda,Democratic Republic of the Congo,50199.27215
Bitkine,Chad,92111.61031
Gqeberha,South Africa,806318.7028
Luanshya,Zambia,106792.7255
Mwanza,Tanzania,977475.3385
Njeru,Uganda,56562.95947
Zóbue,Mozambique,81375.41352
Naqamte,Ethiopia,217687.3637
Kiambu,Kenya,77140.93965
Barawa,Somalia,98702.63079
Hell-Ville,Madagascar,67988.54575
Dahra Djoloff,Senegal,73946.19702
Balato,Guinea,67049.19464
Bouaflé,Côte d'Ivoire,154187.4192
Koro,Mali,52443.57591
Cape Coast,Ghana,283454.2262
Fada N'Gourma,Burkina Faso,140170.5088
Kétou,Benin,90464.46799
Eruwa,Nigeria,127062.2471
Maradi,Niger,673215.4418
Ebolowa,Cameroon,158781.0987
Cubal,Angola,106304.1418
Kenge,Democratic Republic of the Congo,108939.9387
Ati,Chad,126644.0721
Kimberley,South Africa,259456.6042
Ndola,Zambia,559469.3247
Nansio,Tanzania,69000.36047
Jinja,Uganda,245758.5263
Vilanculos,Mozambique,75978.17757
Gutin,Ethiopia,50162.91144
Nyeri,Kenya,66311.77765
Buurhakaba,Somalia,128534.0302
Ambanja,Madagascar,55235.43465
Kolda,Senegal,199859.8099
Siguiri,Guinea,304098.5704
Korhogo,Côte d'Ivoire,348793.2526
Timbuktu,Mali,129745.8465
Assin Fosu,Ghana,92069.22174
Ikpinlè,Benin,56050.32875
Ikorodu,Nigeria,863150.4757
Arlit,Niger,121919.9111
Bafia,Cameroon,86252.59385
Seles,Angola,77139.59119
Bandundu,Democratic Republic of the Congo,178670.6199
Sarh,Chad,249114.6378
Motherwell,South Africa,167327.142
Kapiri Mposhi,Zambia,110231.5155
Mbalizi,Tanzania,84221.02736
Iganga,Uganda,147409.7277
Kapoeta,South Sudan,345376.7497
Caia,Mozambique,59906.00841
Agaro,Ethiopia,118709.431
Kitengela,Kenya,105486.4742
Antsiramandroso,Madagascar,310056.2308
Koungheul,Senegal,63226.41215
Tonborho,Guinea,53659.34628
Diégonéfla,Côte d'Ivoire,66949.8769
Konongo,Ghana,79026.05847
Gao,Mali,174987.9601
Pobè,Benin,117567.1649
Iseyin,Nigeria,377456.8719
Tchadoua,Niger,60811.13861
Yaoundé,Cameroon,5479203.927
M'banza Congo,Angola,340621.6882
Masi Manimba,Democratic Republic of the Congo,62798.2759
Mongo,Chad,205278.8269
Makhanda,South Africa,68174.41164
Nchelenge,Zambia,102427.6123
Nzega,Tanzania,50213.34022
Soroti,Uganda,77727.08535
Morrumbala,Mozambique,105629.8437
Thika,Kenya,124580.1316
Qoryooley,Somalia,108378.3198
Toamasina,Madagascar,78264.82319
Vélingara,Senegal,84758.86684
Nzérékoré,Guinea,298615.5389
Oumé,Côte d'Ivoire,70987.59311
