Name,Status,State,36617,40269,43922
Beloit,Urban Area,Wisconsin / Illinois,56462,63835,63073
Belterra,Urban Area,Texas,,3731,8075
Belton,Urban Area,South Carolina,,5443,5301
Bemidji,Urban Area,Minnesota,12321,14626,14849
Bend,Urban Area,Oregon,57525,83794,106988
Bennettsville,Urban Area,South Carolina,,,9075
Bennington,Urban Area,Vermont,13220,12723,13759
Benson,Urban Area,Arizona,4312,4036,3830
Benton,Urban Area,Illinois,7902,7778,7491
Benton,Urban Area,Kentucky,4152,4447,4691
Benton,Urban Area,Louisiana,4357,5371,5591
Benton Harbor - Lincoln - St. Joseph,Urban Area,Michigan,61745,61022,61888
Berea,Urban Area,Kentucky,11390,15590,16158
Berlin,Urban Area,New Hampshire,,,9658
Berlin,Urban Area,Wisconsin,4866,4891,5289
Berryville,Urban Area,Arkansas,4241,4800,5057
Bethel,Urban Area,Alaska,4436,4434,5097
Beverly Hills - Homosassa Springs - Pine Ridge,Urban Area,Florida,62430,80962,96729
Big Bear,Urban Area,California,15123,15873,16498
Big Lake,Urban Area,Minnesota,,,11868
Big Pine Key,Urban Area,Florida,7389,7540,8441
Big Rapids,Urban Area,Michigan,,,10136
Big Spring,Urban Area,Texas,26299,27987,28955
Big Stone Gap,Urban Area,Virginia,7944,8240,6915
Billings,Urban Area,Montana,100317,114773,128787
Binghamton,Urban Area,New York,158884,158084,155942
Birch Bay,Urban Area,Washington,8159,12737,15833
Birdsboro - Amity,Urban Area,Pennsylvania,,,16999
Birmingham,Urban Area,Alabama,685940,749495,774956
Bisbee,Urban Area,Arizona,6098,5541,4637
Bishop,Urban Area,California,10359,9935,11013
Bismarck,Urban Area,North Dakota,74991,81955,98198
Blackfoot,Urban Area,Idaho,13374,15352,14231
Black River Falls,Urban Area,Wisconsin,,,4415
Blacksburg - Christiansburg,Urban Area,Virginia,,,72400
Blackwell,Urban Area,Oklahoma,7589,6916,6017
Blair,Urban Area,Nebraska,7269,7844,8001
Blairsville,Urban Area,Pennsylvania,,,6156
Bloomfield,Urban Area,New Mexico,,,7841
Bloomington,Urban Area,Indiana,92456,108657,110103
Bloomington - Normal,Urban Area,Illinois,112415,132600,134100
