City,Country,Population (2025)
Dorud,Iran,94497.70939
Oltiariq,Uzbekistan,190399.3693
Shikarpur,Pakistan,284436.2748
Amritsar,India,1303219.344
Kushtia,Bangladesh,407149.1009
Alvand,Iran,73101.123
Yazyavan,Uzbekistan,57499.77042
Chaman,Afghanistan,77694.06872
Inam Kalay,Pakistan,51616.82487
Thangadh,India,87451.36242
Mollar Char,Bangladesh,235719.5622
Fergana,Uzbekistan,759422.5775
Chayab,Afghanistan,114078.7682
Thul,Pakistan,109291.7322
Radhanpur,India,63356.40825
Dhunat,Bangladesh,106637.4773
Khorramshahr,Iran,102762.2781
Chimyon,Uzbekistan,63863.95697
Nahrin,Afghanistan,65297.56899
Wari,Pakistan,86316.98448
Abohar,India,130002.0961
Pabna,Bangladesh,424847.1908
Abadan,Iran,192286.7875
Taloqan,Afghanistan,307493.3176
Sharixon,Uzbekistan,164542.5431
Tangi,Pakistan,83719.77527
Kodinar,India,54343.33026
Mahmudpur,Bangladesh,92795.31523
Shushtar,Iran,123134.8513
Ishkamish,Afghanistan,60077.18077
Maygyr,Uzbekistan,70644.15027
Khall,Pakistan,104434.1605
Firozpur,India,232977.5175
Kazipur,Bangladesh,280793.7671
Ahwaz,Iran,1907837.453
Rustaq,Afghanistan,117503.8183
Quva,Uzbekistan,104547.2704
Gambat,Pakistan,61951.23004
Bikaner,India,880322.1349
Bhangura,Bangladesh,77368.2555
Arak,Iran,357631.7618
Andijon,Uzbekistan,792858.2557
Mehrabpur,Pakistan,57782.01672
Bhaderwah,India,96832.12429
Kumarkhali,Bangladesh,61796.09782
شهرک صنعتی اشتهارد,Iran,50356.93717
Asaka,Uzbekistan,247403.9529
Siyahgird,Afghanistan,68737.51853
Pir jo Goth,Pakistan,70854.80662
Tarn Taran Sahib,India,100503.083
Benapole,Bangladesh,62088.81487
Mollasani,Iran,253986.8822
Pakhtaobod,Uzbekistan,85275.52216
Sherpao,Pakistan,66492.97233
Suratgarh,India,95624.45909
Madarganj,Bangladesh,82951.90605
Tonekabon,Iran,53603.0433
Marhamat,Uzbekistan,56090.32685
Kishim,Afghanistan,106400.3197
Karak,Pakistan,60236.99388
Dhrangadhra,India,81594.51304
Salanga,Bangladesh,169721.8928
Shadegan,Iran,83141.78265
Buloqboshi,Uzbekistan,63056.69005
Charikar,Afghanistan,218321.1021
Batkhela,Pakistan,194103.6781
Gunnowal,India,119107.3905
Khoksha,Bangladesh,51727.13333
Nazarabad,Iran,79090.40172
Ghazni,Afghanistan,89125.40869
Jalaquduq,Uzbekistan,54813.62293
Mera Umarzai,Pakistan,151144.5941
Jasdan,India,59027.2901
Jhenaidah,Bangladesh,210528.7259
Aligudarz,Iran,89632.19258
Jabal us Saraj,Afghanistan,77226.76098
Qurghontepa,Uzbekistan,59144.6541
Sri Muktsar Sahib,India,166501.7233
Faridpur,Bangladesh,77245.59584
Istalef,Afghanistan,55685.21501
Sakhakot,Pakistan,176118.6226
Batala,India,256970.3987
Melandaha,Bangladesh,171797.9852
Saveh,Iran,124513.5413
Kabul,Afghanistan,6254679.472
Kohat,Pakistan,465454.7408
Kathua,India,106663.2365
Sirajganj,Bangladesh,504500.7045
Abbasabad,Iran,107976.596
Golbahar,Afghanistan,132600.4033
Lakki Marwat,Pakistan,90552.85058
Bhinmal,India,78617.26294
Kaliganj,Bangladesh,69185.62467
Mahdasht,Iran,77072.02821
Qarabagh,Afghanistan,134534.3956
Ameer Abad Kalay,Pakistan,56874.60721
Gurdaspur,India,143649.6904
Ullapara,Bangladesh,91763.80953
Safadasht,Iran,293981.3462
Mir Bachah Kot,Afghanistan,56045.66742
Akhorwal,Pakistan,58453.17689
Danewala,India,100931.5178
Sujanagar,Bangladesh,84197.90694
Karaj,Iran,3585417.421
Bagram,Afghanistan,116037.1983
Takht Bhai,Pakistan,333438.813
Faridkot,India,135314.3148
Bhatara,Bangladesh,64181.69947
Mohammad Shahr,Iran,167672.0645
Mahmud-e Raqi,Afghanistan,74654.4733
Charsadda,Pakistan,383635.4284
Amreli,India,160834.9605
Kayempur,Bangladesh,117919.0469
Khomein,Iran,59920.64255
Fayzabad,Afghanistan,231687.4392
Sukkur,Pakistan,825956.671
Diu,India,70677.49348
Dhulauri,Bangladesh,50178.78597
Qebchaq,Iran,93978.91291
